Age Group,Average Daily Screen Time (hours)
Over 60,9.0
46 to 60,6.8
10 to 18,3.7
36 to 45,7.0
46 to 60,3.6
19 to 25,5.9
26 to 35,4.9
19 to 25,5.6
36 to 45,3.5
10 to 18,6.1
36 to 45,8.0
10 to 18,5.8
Over 60,3.5
26 to 35,2.5
26 to 35,2.9
36 to 45,4.6
46 to 60,5.0
46 to 60,3.2
Over 60,7.8
26 to 35,4.3
36 to 45,8.1
46 to 60,4.6
Over 60,4.2
Over 60,5.5
Over 60,4.5
19 to 25,6.9
19 to 25,4.5
26 to 35,2.7
10 to 18,4.2
Over 60,2.8
46 to 60,5.9
Over 60,4.5
46 to 60,2.1
19 to 25,3.4
Over 60,5.5
10 to 18,6.1
46 to 60,2.2
10 to 18,5.3
Over 60,5.9
26 to 35,5.0
36 to 45,8.2
46 to 60,6.4
Over 60,4.4
19 to 25,6.5
10 to 18,4.1
26 to 35,6.4
19 to 25,6.0
46 to 60,5.4
36 to 45,5.2
36 to 45,7.2
26 to 35,4.8
Over 60,9.1
46 to 60,3.5
10 to 18,6.2
46 to 60,3.6
46 to 60,2.0
46 to 60,7.4
19 to 25,4.8
Over 60,4.8
26 to 35,7.9
36 to 45,7.3
10 to 18,4.7
36 to 45,4.9
26 to 35,1.0
10 to 18,6.8
19 to 25,5.3
36 to 45,3.5
Over 60,7.2
46 to 60,8.4
10 to 18,4.4
46 to 60,5.1
10 to 18,4.3
19 to 25,6.7
10 to 18,3.9
36 to 45,6.2
19 to 25,5.6
19 to 25,7.2
46 to 60,6.7
46 to 60,6.1
26 to 35,6.0
36 to 45,6.6
10 to 18,2.6
19 to 25,3.7
36 to 45,4.2
26 to 35,3.7
36 to 45,5.2
Over 60,4.0
36 to 45,8.0
26 to 35,1.9
10 to 18,5.4
36 to 45,3.3
10 to 18,5.7
36 to 45,3.5
Over 60,6.0
10 to 18,2.8
36 to 45,5.5
46 to 60,1.0
10 to 18,2.3
10 to 18,5.0
Over 60,4.5
19 to 25,5.4
46 to 60,6.3
Over 60,4.7
Over 60,2.7
10 to 18,4.5
26 to 35,5.2
26 to 35,4.4
46 to 60,4.4
46 to 60,5.9
Over 60,5.4
46 to 60,6.0
Over 60,5.5
19 to 25,5.4
26 to 35,4.6
19 to 25,4.1
26 to 35,3.7
46 to 60,5.4
36 to 45,1.7
46 to 60,3.5
19 to 25,6.0
26 to 35,2.2
46 to 60,5.5
19 to 25,1.6
46 to 60,5.0
36 to 45,6.4
36 to 45,4.5
10 to 18,5.0
36 to 45,3.8
10 to 18,7.0
10 to 18,5.9
19 to 25,6.2
26 to 35,2.6
36 to 45,3.4
46 to 60,6.0
10 to 18,5.0
36 to 45,5.5
19 to 25,4.3
46 to 60,2.9
Over 60,5.4
26 to 35,5.2
10 to 18,5.2
10 to 18,5.2
Over 60,5.7
26 to 35,3.4
19 to 25,3.6
Over 60,2.5
36 to 45,6.6
Over 60,5.9
10 to 18,4.8
26 to 35,1.0
Over 60,5.4
36 to 45,4.5
10 to 18,7.4
Over 60,7.7
Over 60,7.0
36 to 45,5.8
19 to 25,6.0
26 to 35,4.3
19 to 25,4.1
10 to 18,3.1
Over 60,7.1
19 to 25,4.8
10 to 18,6.3
19 to 25,6.6
Over 60,7.3
19 to 25,2.8
46 to 60,3.5
46 to 60,1.3
46 to 60,5.1
46 to 60,6.4
10 to 18,4.0
26 to 35,6.8
26 to 35,6.9
10 to 18,6.2
26 to 35,5.3
46 to 60,3.3
10 to 18,4.3
19 to 25,5.4
26 to 35,3.8
36 to 45,8.3
19 to 25,5.8
46 to 60,9.4
19 to 25,8.0
36 to 45,2.5
19 to 25,4.2
26 to 35,2.3
Over 60,2.8
10 to 18,2.5
10 to 18,4.2
36 to 45,1.2
19 to 25,4.6
46 to 60,4.1
19 to 25,5.3
10 to 18,3.3
46 to 60,1.6
19 to 25,4.1
Over 60,6.6
26 to 35,6.3
36 to 45,5.3
Over 60,6.4
36 to 45,8.7
46 to 60,9.9
36 to 45,4.8
26 to 35,3.2
36 to 45,5.6
36 to 45,6.1
10 to 18,3.3
19 to 25,2.3
10 to 18,4.6
10 to 18,5.1
46 to 60,8.2
46 to 60,2.3
10 to 18,4.7
10 to 18,5.0
46 to 60,4.5
26 to 35,5.3
Over 60,6.6
10 to 18,9.1
46 to 60,6.3
Over 60,4.8
19 to 25,6.0
36 to 45,4.1
Over 60,2.3
10 to 18,5.0
10 to 18,1.3
26 to 35,3.0
36 to 45,3.9
Over 60,1.5
26 to 35,6.2
Over 60,4.0
19 to 25,4.2
Over 60,6.3
Over 60,3.4
19 to 25,1.2
26 to 35,1.4
36 to 45,2.8
19 to 25,1.6
36 to 45,5.4
36 to 45,6.6
46 to 60,4.6
26 to 35,6.9
26 to 35,5.8
46 to 60,5.9
26 to 35,2.7
26 to 35,6.0
46 to 60,2.1
Over 60,5.4
10 to 18,5.3
10 to 18,3.1
46 to 60,9.2
10 to 18,3.6
46 to 60,4.6
26 to 35,7.7
Over 60,3.7
36 to 45,9.7
26 to 35,2.9
36 to 45,1.0
10 to 18,6.8
Over 60,4.9
10 to 18,1.5
Over 60,6.2
46 to 60,9.9
10 to 18,5.4
Over 60,4.3
Over 60,8.2
26 to 35,3.8
36 to 45,7.4
10 to 18,4.3
10 to 18,4.8
10 to 18,4.8
36 to 45,3.1
36 to 45,5.8
36 to 45,3.1
46 to 60,5.9
Over 60,4.3
26 to 35,1.0
10 to 18,7.3
19 to 25,2.1
36 to 45,4.3
10 to 18,6.0
10 to 18,6.0
19 to 25,5.8
36 to 45,1.0
26 to 35,3.4
10 to 18,4.9
10 to 18,5.7
26 to 35,6.0
46 to 60,4.1
Over 60,5.3
26 to 35,2.8
19 to 25,1.0
46 to 60,4.5
46 to 60,5.0
36 to 45,7.4
Over 60,4.0
10 to 18,5.9
Over 60,4.0
26 to 35,7.9
46 to 60,1.7
19 to 25,5.2
26 to 35,7.8
Over 60,5.1
26 to 35,3.7
19 to 25,7.5
36 to 45,5.3
19 to 25,4.8
19 to 25,5.0
10 to 18,1.5
36 to 45,3.4
36 to 45,5.1
46 to 60,4.4
36 to 45,2.4
46 to 60,8.7
10 to 18,4.3
36 to 45,4.5
36 to 45,2.3
19 to 25,7.9
46 to 60,6.1
10 to 18,7.2
36 to 45,6.5
46 to 60,6.5
36 to 45,2.2
36 to 45,2.7
26 to 35,4.7
10 to 18,4.4
10 to 18,4.5
36 to 45,4.1
10 to 18,4.8
19 to 25,3.0
46 to 60,7.3
46 to 60,4.2
10 to 18,5.8
19 to 25,4.8
Over 60,5.9
19 to 25,3.4
46 to 60,6.7
Over 60,6.3
46 to 60,1.0
36 to 45,6.1
Over 60,4.2
26 to 35,4.9
Over 60,3.2
10 to 18,4.9
46 to 60,5.4
46 to 60,4.6
10 to 18,5.1
36 to 45,3.6
36 to 45,4.4
46 to 60,6.7
26 to 35,5.9
36 to 45,7.2
36 to 45,1.2
10 to 18,3.4
26 to 35,2.8
19 to 25,5.2
46 to 60,5.6
36 to 45,3.8
Over 60,7.5
19 to 25,5.0
10 to 18,4.7
46 to 60,5.3
46 to 60,7.9
46 to 60,1.7
Over 60,3.3
19 to 25,7.0
46 to 60,3.4
19 to 25,5.5
Over 60,6.7
19 to 25,3.6
26 to 35,2.0
26 to 35,3.6
19 to 25,6.0
10 to 18,4.8
46 to 60,5.4
19 to 25,3.5
10 to 18,1.7
36 to 45,3.1
46 to 60,5.0
26 to 35,4.6
10 to 18,5.2
19 to 25,4.8
36 to 45,4.8
10 to 18,5.3
19 to 25,4.0
36 to 45,2.1
26 to 35,1.5
46 to 60,3.8
19 to 25,6.5
19 to 25,7.6
19 to 25,5.3
10 to 18,8.5
46 to 60,2.3
36 to 45,3.3
10 to 18,4.3
Over 60,3.2
Over 60,4.8
19 to 25,1.6
Over 60,3.6
26 to 35,5.3
36 to 45,4.0
46 to 60,5.3
26 to 35,4.5
10 to 18,8.9
36 to 45,6.3
26 to 35,5.5
36 to 45,5.6
Over 60,4.6
26 to 35,5.0
26 to 35,4.4
26 to 35,1.9
26 to 35,3.4
10 to 18,4.2
36 to 45,9.2
19 to 25,3.2
36 to 45,3.0
36 to 45,3.1
26 to 35,5.1
36 to 45,6.3
26 to 35,3.8
26 to 35,1.9
19 to 25,4.6
Over 60,2.4
19 to 25,6.5
19 to 25,5.0
36 to 45,4.3
Over 60,3.9
10 to 18,4.3
Over 60,4.3
46 to 60,5.2
Over 60,7.1
26 to 35,5.9
19 to 25,8.9
19 to 25,5.2
Over 60,2.1
19 to 25,4.0
36 to 45,8.0
46 to 60,5.2
46 to 60,3.7
10 to 18,5.5
26 to 35,2.1
19 to 25,9.3
Over 60,6.8
46 to 60,4.8
26 to 35,5.8
26 to 35,5.1
26 to 35,6.2
26 to 35,4.4
26 to 35,8.4
Over 60,3.8
46 to 60,5.6
19 to 25,3.6
19 to 25,4.0
19 to 25,7.9
46 to 60,6.5
46 to 60,6.4
36 to 45,5.7
26 to 35,6.7
19 to 25,5.3
10 to 18,2.1
10 to 18,4.2
